Type,Date,Latitude,Longitude
Single_Gunshot,8/2/2015,38.68,-90.27

Multiple_Gunshots,8/2/2015,38.68,-90.27

Multiple_Gunshots,8/2/2015,38.68,-90.28

Multiple_Gunshots,8/1/2015,38.68,-90.24

Multiple_Gunshots,8/1/2015,38.66,-90.25

Gunshot_or_firework,8/1/2015,38.68,-90.27

Multiple_Gunshots,8/1/2015,38.66,-90.26

Multiple_Gunshots,8/1/2015,38.66,-90.25

Single_Gunshot,8/1/2015,38.66,-90.26

Multiple_Gunshots,8/1/2015,38.66,-90.26

Single_Gunshot,8/1/2015,38.67,-90.23

Single_Gunshot,8/1/2015,38.67,-90.24

Multiple_Gunshots,8/1/2015,38.68,-90.22

Single_Gunshot,7/31/2015,38.66,-90.25

Multiple_Gunshots,7/31/2015,38.66,-90.25

Single_Gunshot,7/31/2015,38.66,-90.25

Multiple_Gunshots,7/31/2015,38.66,-90.26

Multiple_Gunshots,7/31/2015,38.67,-90.24

Multiple_Gunshots,7/31/2015,38.68,-90.27

Multiple_Gunshots,7/31/2015,38.66,-90.27

Single_Gunshot,7/31/2015,38.67,-90.24

Multiple_Gunshots,7/31/2015,38.67,-90.24

Multiple_Gunshots,7/31/2015,38.67,-90.22

Multiple_Gunshots,7/31/2015,38.67,-90.28

Single_Gunshot,7/30/2015,38.67,-90.23

Single_Gunshot,7/30/2015,38.67,-90.23

Multiple_Gunshots,7/30/2015,38.68,-90.28

Multiple_Gunshots,7/30/2015,38.67,-90.26

Multiple_Gunshots,7/30/2015,38.68,-90.27

Single_Gunshot,7/30/2015,38.67,-90.28

Single_Gunshot,7/29/2015,38.67,-90.24

Multiple_Gunshots,7/29/2015,38.68,-90.26

Multiple_Gunshots,7/29/2015,38.67,-90.24

Multiple_Gunshots,7/29/2015,38.67,-90.26

Multiple_Gunshots,7/29/2015,38.67,-90.26

Multiple_Gunshots,7/29/2015,38.68,-90.27

Multiple_Gunshots,7/28/2015,38.68,-90.28

Multiple_Gunshots,7/28/2015,38.67,-90.22

Multiple_Gunshots,7/28/2015,38.67,-90.22

Single_Gunshot,7/28/2015,38.67,-90.28

Multiple_Gunshots,7/28/2015,38.67,-90.23

Single_Gunshot,7/27/2015,38.66,-90.26

Multiple_Gunshots,7/27/2015,38.68,-90.27

Multiple_Gunshots,7/27/2015,38.68,-90.27

Single_Gunshot,7/27/2015,38.67,-90.24

Multiple_Gunshots,7/27/2015,38.67,-90.24

Multiple_Gunshots,7/27/2015,38.67,-90.24

